DATE,UMTMVS
2010-02-01,362439.0
2010-03-01,424203.0
2010-04-01,408902.0
2010-05-01,408799.0
2010-06-01,428819.0
2010-07-01,398302.0
2010-08-01,424860.0
2010-09-01,431329.0
2010-10-01,425072.0
2010-11-01,412464.0
2010-12-01,427075.0
2011-01-01,403211.0
2011-02-01,407684.0
2011-03-01,485327.0
2011-04-01,456422.0
2011-05-01,466496.0
2011-06-01,484994.0
2011-07-01,445432.0
2011-08-01,484300.0
2011-09-01,478009.0
2011-10-01,469514.0
2011-11-01,453233
2011-12-01,457272.0
2012-01-01,435284
2012-02-01,454151
2012-03-01,502968
2012-04-01,472688
2012-05-01,492665
2012-06-01,487714
2012-07-01,453282
2012-08-01,493640
2012-09-01,482320
2012-10-01,491603
2012-11-01,467096
2012-12-01,463317
2013-01-01,447948
2013-02-01,453770
2013-03-01,501722
2013-04-01,481945
2013-05-01,502208
2013-06-01,497211
2013-07-01,473078
2013-08-01,502793
2013-09-01,497700
2013-10-01,502769
2013-11-01,475613
2013-12-01,477370
2014-01-01,452212
2014-02-01,457808
2014-03-01,513946
2014-04-01,496788
2014-05-01,506820
2014-06-01,517141
2014-07-01,488066
2014-08-01,506609
2014-09-01,513098
2014-10-01,505475
2014-11-01,458398
2014-12-01,472646
2015-01-01,424104
2015-02-01,431113
2015-03-01,493365
2015-04-01,469899
2015-05-01,469475
2015-06-01,496586
2015-07-01,454788
2015-08-01,470575
2015-09-01,478931
2015-10-01,466724
2015-11-01,437157
2015-12-01,440316
2016-01-01,399750
2016-02-01,425230
2016-03-01,473035
2016-04-01,441341
2016-05-01,452785
2016-06-01,475935
2016-07-01,422080
2016-08-01,465534
2016-09-01,468036
2016-10-01,452756
2016-11-01,437278
2016-12-01,449836
2017-01-01,418575
2017-02-01,424608
2017-03-01,488027
2017-04-01,445560
2017-05-01,473800
2017-06-01,486419
2017-07-01,435104
2017-08-01,483215
2017-09-01,479944
2017-10-01,479590
2017-11-01,468459
2017-12-01,465494
2018-01-01,447976
2018-02-01,448510
2018-03-01,511220
2018-04-01,481409
2018-05-01,508391
2018-06-01,519150
2018-07-01,475285
2018-08-01,519089
2018-09-01,506101
2018-10-01,515435
2018-11-01,482653
2018-12-01,475445
2019-01-01,454219
2019-02-01,454389
2019-03-01,506785
2019-04-01,486692
2019-05-01,501080
2019-06-01,498143
2019-07-01,466412
2019-08-01,492064
2019-09-01,483013
2019-10-01,485021
2019-11-01,450968
2019-12-01,455671
2020-01-01,429307
2020-02-01,434544
2020-03-01,452735
2020-04-01,367832
2020-05-01,377951
2020-06-01,440807
2020-07-01,425761
2020-08-01,449011
2020-09-01,460208
2020-10-01,462221
2020-11-01,439601
2020-12-01,463885
2021-01-01,438050
2021-02-01,442090
2021-03-01,512583
2021-04-01,488259
2021-05-01,495947
2021-06-01,532273
2021-07-01,499535
2021-08-01,530363
2021-09-01,537308
2021-10-01,539018
2021-11-01,526192
2021-12-01,537987
2022-01-01,504796
2022-02-01,515128
2022-03-01,607719
2022-04-01,570022
2022-05-01,593579
2022-06-01,625963
2022-07-01,560185
2022-08-01,607864
2022-09-01,602004
2022-10-01,596864
2022-11-01,570498
2022-12-01,567488
2023-01-01,540816
2023-02-01,535019
2023-03-01,613157
2023-04-01,557840
2023-05-01,588352.0
2023-06-01,609697.0
2023-07-01,552405.0
